entry_idx,entry_price,exit_idx,exit_price,reason
7,1.635,8,1.7,trailingTP
14,1.885,15,1.94,trailingTP
39,1.975,40,1.945,trailingTP
49,1.9,50,1.93,trailingTP
58,1.9,59,1.86,trailingTP
70,1.86,71,1.88,trailingTP
86,1.645,87,1.655,trailingTP
113,1.665,114,1.62,trailingTP
120,1.85,121,1.785,trailingTP
141,1.73,142,1.74,trailingTP
162,1.89,163,1.825,sellSignal
168,1.885,169,1.825,sellSignal
183,1.765,184,1.775,trailingTP
204,2.8,205,2.775,trailingTP
220,2.95,221,3.08,trailingTP
235,3.36,236,3.875,trailingTP
261,4.2,262,4.245,trailingTP
279,4.755,280,4.605,trailingTP
284,4.71,285,4.885,trailingTP
290,4.78,291,5.125,trailingTP
332,4.065,333,4.13,trailingTP
354,4.01,355,4.115,trailingTP
368,4.025,369,3.915,trailingTP
384,3.85,385,3.895,trailingTP
396,3.81,397,3.825,trailingTP
414,3.515,415,3.52,trailingTP
462,3.265,463,3.315,trailingTP
486,3.13,487,3.16,trailingTP
513,3.555,514,3.49,trailingTP
543,4.03,544,4.07,trailingTP
578,4.08,579,4.03,trailingTP
596,4.245,597,4.17,trailingTP
606,4.12,607,4.025,trailingTP
618,3.965,619,3.92,trailingTP
625,3.83,626,3.895,trailingTP
647,4.04,648,3.995,trailingTP
655,4.39,656,4.915,trailingTP
697,3.98,698,3.935,trailingTP
716,3.755,717,3.75,trailingTP
